modern;traditional
ab absurdo;доказа́тельство отъ проти́внаго (лат.)
ab antiquo;и́зстари, издре́вле (лат.)
a bas;доло́й, про́чь (фр.)
abassando;постепе́нное пониже́ніе си́лы зву́ка при игрѣ́ (ит.)
ab hoc et ab hac;вкривь и вкось, безпоря́дочно (лат.)
ab imo pectore;отъ глубины́ души́, отъ всего́ се́рдца (лат.)
ab incunabilis;съ колыбе́ли (лат.)
ab initio;съ нача́ла (лат.)
ab initio nullum, semper nullum;изъ ничего́ и полу́чится ничего́ (лат.)
ab irato;въ гнѣ́вѣ, дви́жимый гнѣ́вомъ (лат.)
ab ovo;«съ яйца́», съ са́маго нача́ла, съ моме́нта возникнове́нія (лат.)
ab ovo usque ad mala;«отъ яйца́ до я́блокъ» — съ нача́ла до конца́ (лат.)
a bras ouverts;съ распростёртыми объя́тіями (фр.)
abs.;отсу́тствуетъ (лат.)
ab urbe condita;отъ основа́нія го́рода (лат.)
a capriccio;произво́льно (ит.)
a conto;въ счётъ (ит.)
adagio;въ муз. — ме́дленно, ти́хо (ит.)
ad aperturam libri;безъ подгото́вки, экспро́мптомъ (лат.)
ad absurdum;приведе́ніе къ нелѣ́пому вы́воду для доказа́тельства проти́внаго (лат.)
ad augusta per angusta;высо́каго положе́нія добива́ются больши́ми уси́ліями (лат.)
ad calendas graecas;«до гре́ческихъ кале́ндъ» — никогда́ (кале́ндъ у гре́ковъ не́ было) (лат.)
a dessein;намѣ́ренно, съ цѣ́лью (фр.)
a deux mains;въ муз. — въ двѣ руки́ (фр.)
ad exemplum;по образцу́ (лат.)
ad gloriam;ра́ди сла́вы (лат.)
ad hoc;спеціа́льно для да́ннаго слу́чая (лат.)
ad hominem;доказа́тельство не по существу́, а примѣни́тельно къ ли́чности убѣжда́емаго (лат.)
ad honores;ра́ди почёта (лат.)
ad infinitum;безъ конца́, безконе́чно (лат.)
a discrétion;по со́бственному усмотрѣ́нію, въ безотчётное распоряже́ніе (фр.)
ad libitum;по жела́нію, на вы́боръ (лат.)
ad litteram;буква́льно, досло́вно (лат.)
ad majorem Dei gloriam;во сла́ву Бо́жію (лат.)
ad meliorem;къ лу́чшему (лат.)
ad modum;наподо́біе (лат.)
ad patres;къ праотца́мъ, отпра́виться a. p. — умере́ть (лат.)
ad referendum;къ докла́ду (лат.)
ad rem;по существу́, категори́чески (лат.)
ad unguem;«до ноготка́», до то́чности (лат.)
A-dur;мажо́рная га́мма съ основны́мъ то́номъ A (муз.)
ad usum;для употребле́нія (лат.)
ad usum Delphini;для испо́льзованія дофи́номъ (лат.)
ad valorem;по досто́инству (лат.)
aequo animo;споко́йно, равноду́шно (лат.)
aeternum vale;послѣ́днее прости́ (лат.)
affetuoso;муз. — любовно, съ душой (ит.)
a fortiori;съ тѣмъ бо́льшимъ основа́ніемъ (лат.)
a giorno;до я́ркости со́лнечнаго дня (ит.)
agitato;муз. — съ волне́ніемъ (ит.)
agnosco veteris vestigia flammae;узнаю́ слѣды́ пре́жняго огня́ (лат.)
Agnus Dei;«а́гнецъ Бо́жій» — моли́тва у като́ликовъ (лат.)
aide toi et le ciel t'aidera;на Бо́га надѣ́йся, а самъ не плоша́й (фр.)
a la;на мане́ръ, въ ро́дѣ (фр.)
a la baisse;на пониже́ніе (объ а́кціяхъ) (фр.)
a la bonne heure;въ до́брый часъ, съ Бо́гомъ (фр.)
a la fin;наконе́цъ, напослѣ́докъ (фр.)
a la guerre comme à la guerre;на войнѣ́ какъ на войнѣ́ (фр.)
a la hausse;на повыше́ніе (объ а́кціяхъ) (фр.)
a la lettre;буква́льно (фр.)
a la longue;со вре́менемъ, подъ коне́цъ (фр.)
a la mode;по мо́дѣ (фр.)
alea jacta est;«жре́бій бро́шенъ», рѣшено́ (лат.)
alias;ина́че, други́ми слова́ми (лат.)
alibi;нахожде́ніе подозрѣва́емаго въ преступле́ніи, въ моме́нтъ соверше́нія его, въ друго́мъ мѣ́стѣ (лат.)
alieni juris;ли́ца чужо́го пра́ва (лат.)
a linea;съ но́вой строки́ (лат.)
a livre ouvert;безъ подгото́вки, экспро́мптомъ (фр.)
allegretto;муз. — ве́село (ит.)
allegro;муз. — бы́стро (ит.)
allentando;муз. — замедля́я (ит.)
aller et retour;«туда и обратно», биле́тъ для проѣ́зда въ оба конца́ (фр.)
allons;идётъ! дава́йте! (фр.)
all right;всё въ поря́дкѣ! ла́дно! (англ.)
alma mater;«мать-корми́лица», такъ называ́ютъ вы́сшее уче́бное заведе́ніе ли́ца, око́нчившія его (лат.)
al pari;совпаде́ніе биржево́й и номина́льной сто́имости цѣ́нной бума́ги (ит.)
alter ego;«друго́й я» (лат.)
alternamente;муз. — поперемѣ́нно, поочерёдно (ит.)
amicus Plato, sed magis amica veritas;Плато́нъ другъ, но и́стина ещё бо́льшій другъ (лат.)
ancien régime;ста́рый, отжи́вшій госуда́рственный поря́докъ (фр.)
andante;муз. — споко́йно (ит.)
animato;муз. — оживлённо (ит.)
ante bellum;до войны́ (лат.)
ante Christum;до Рождества́ Христо́ва (лат.)
ante meridiem;до полу́дня — a. m. (лат.)
a part;въ сто́рону, отдѣ́льно (фр.)
a parte;отдѣ́льно, по частя́мъ (лат.)
a posteriori;на основа́ніи о́пыта (лат.)
apporte;принеси́! пода́й! (обраще́ніе къ соба́кѣ) (фр.)
après nous le déluge;«по́слѣ насъ хоть пото́пъ!» (фр.)
a prima vista;муз. — «съ пе́рваго взгля́да», исполне́ніе безъ подгото́вки (ит.)
a priori;на основа́ніи умозрѣ́нія, путёмъ логи́ческаго разсужде́нія, до и поми́мо о́пыта (лат.)
a propos;кста́ти, впо́ру (фр.)
aqua distillata;дистиллиро́ванная вода́ (лат.)
argumentum ad hominem;доказа́тельство не по существу́, а примѣни́тельно къ ли́чности убѣжда́емаго (лат.)
argumentum ad populum;доказа́тельство по при́нципу правоты́ большинства́ (лат.)
argumentum ex silentio;вы́водъ доказа́тельства изъ молча́нія проти́вника (лат.)
ars longa, vita brevis;нау́ка обши́рна, жизнь коротка́ (лат.)
artes liberales;свобо́дныя иску́сства — въ сре́дн. вѣка́ 7 свѣ́тскихъ нау́къ: грамма́тика, рито́рика, діале́ктика, геоме́трія, ариѳме́тика, астроно́мія и му́зыка (лат.)
assai;муз. — доста́точно, дово́льно (ит.)
a tout prix;во что бы то ни ста́ло (фр.)
a tort et à travers;безъ то́лку, вкривь и вкось (фр.)
au courant;въ ку́рсѣ дѣ́ла, бли́зко къ дѣ́лу (фр.)
audiatur et altera pars;пусть бу́детъ вы́слушана и друга́я сторона́ (лат.)
aurea mediocritas;золота́я середи́на (лат.)
auri sacra fames;«зла́та прокля́тая жа́жда» (лат.)
au naturel;въ есте́ственномъ ви́дѣ (фр.)
aut Caesar aut nihil;«или Це́зарь, или ничто́», ли́бо панъ, ли́бо пропа́лъ (лат.)
ave;здра́вствуй (лат.)
ave Caesar, morituri te salutant;«обречённые на сме́рть привѣ́тствуютъ тебя́, Це́зарь!» — восклица́ніе ри́мскихъ гладіа́торовъ (лат.)
Ave-Maria;католи́ч. моли́тва Богоро́дицѣ (лат.)
avenue;проспе́ктъ, у́лица (фр.)
a vol d'oiseau;съ пти́чьяго полёта (фр.)
baby;"ма́ленькій ребёнокъ; ку́кла; да́мское пла́тье дѣ́тскаго покро́я (англ.)"
bal-masqué;балъ-маскара́дъ (фр.)
beati possidentes;сча́стливы владѣ́ющіе (лат.)
bébé;"ма́ленькій ребёнокъ; ку́кла; да́мское пла́тье дѣ́тскаго покро́я (фр.)"
bel ami;серде́чный другъ (фр.)
bel esprit;остроу́мный человѣ́къ (фр.)
bellum omnium contra omnes;война́ ка́ждаго про́тивъ всѣхъ (лат.)
bête noire;проти́вный, ненави́стный человѣ́къ (фр.)
bijou;драгоцѣ́нность (фр.)
billet doux;любо́вная запи́ска (фр.)
bis;«два́жды», ещё разъ — восклица́ніе пу́блики при жела́ніи повторе́нія извѣ́стнаго мѣ́ста пье́сы, а́ріи, моноло́га и т. п. (лат.)
bis dat qui cito dat;вдвойнѣ́ даётъ тотъ, кто даётъ ско́ро (лат.)
blasé;пресы́щенный, притуплённый (фр.)
